Row,Error,Row Data
31,Invalid date format for CREATE DATE at row 31: 22-07-2025 22:13:35,"{'Unnamed: 0': nan, 'No': 30, 'CREATE DATE': '22-07-2025 22:13:35', 'USERNAME': 'gali12', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 22:16:49', 'PROCESS BY': 'xpukul69', 'AMOUNT': '39.00'}"
32,Invalid date format for CREATE DATE at row 32: 22-07-2025 22:14:38,"{'Unnamed: 0': nan, 'No': 31, 'CREATE DATE': '22-07-2025 22:14:38', 'USERNAME': 'admngao09', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 22:15:10', 'PROCESS BY': 'dendi@xpukul69', 'AMOUNT': '20.00'}"
33,Invalid date format for CREATE DATE at row 33: 22-07-2025 22:11:23,"{'Unnamed: 0': nan, 'No': 32, 'CREATE DATE': '22-07-2025 22:11:23', 'USERNAME': 'selpiaja', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 22:12:17', 'PROCESS BY': 'xpukul69', 'AMOUNT': '74.00'}"
34,Invalid date format for CREATE DATE at row 34: 22-07-2025 22:04:47,"{'Unnamed: 0': nan, 'No': 33, 'CREATE DATE': '22-07-2025 22:04:47', 'USERNAME': 'yubi69', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 22:05:50', 'PROCESS BY': 'xpukul69', 'AMOUNT': '24.00'}"
35,Invalid date format for CREATE DATE at row 35: 22-07-2025 21:58:43,"{'Unnamed: 0': nan, 'No': 34, 'CREATE DATE': '22-07-2025 21:58:43', 'USERNAME': 'gali12', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 21:59:24', 'PROCESS BY': 'xpukul69', 'AMOUNT': '30.00'}"
36,Invalid date format for CREATE DATE at row 36: 22-07-2025 21:58:07,"{'Unnamed: 0': nan, 'No': 35, 'CREATE DATE': '22-07-2025 21:58:07', 'USERNAME': 'bibit123', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 21:58:49', 'PROCESS BY': 'xpukul69', 'AMOUNT': '19.00'}"
37,Invalid date format for CREATE DATE at row 37: 22-07-2025 21:53:40,"{'Unnamed: 0': nan, 'No': 36, 'CREATE DATE': '22-07-2025 21:53:40', 'USERNAME': 'bulux1990', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 21:54:44', 'PROCESS BY': 'xpukul69', 'AMOUNT': '30.00'}"
38,Invalid date format for CREATE DATE at row 38: 22-07-2025 21:53:12,"{'Unnamed: 0': nan, 'No': 37, 'CREATE DATE': '22-07-2025 21:53:12', 'USERNAME': 'frison88', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 21:53:48', 'PROCESS BY': 'xpukul69', 'AMOUNT': '49.00'}"
39,Invalid date format for CREATE DATE at row 39: 22-07-2025 21:48:59,"{'Unnamed: 0': nan, 'No': 38, 'CREATE DATE': '22-07-2025 21:48:59', 'USERNAME': 'pemainlawas', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 21:50:01', 'PROCESS BY': 'dendi@xpukul69', 'AMOUNT': '150.00'}"
40,Invalid date format for CREATE DATE at row 40: 22-07-2025 21:48:40,"{'Unnamed: 0': nan, 'No': 39, 'CREATE DATE': '22-07-2025 21:48:40', 'USERNAME': 'birutua99', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 21:49:26', 'PROCESS BY': 'dendi@xpukul69', 'AMOUNT': '20.00'}"
